Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:11:32,2019-01-01 18:11:33,0.840s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:11:33,2019-01-01 18:11:33,0.005s,PASSED
,,,,,,
Test Cases/home page/first learn more,Chrome 71.0.3578.98,,2019-01-01 18:11:33,2019-01-01 18:11:50,17.198s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:11:33,2019-01-01 18:11:36,2.496s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:11:36,2019-01-01 18:11:49,13.358s,PASSED
"click(findTestObject(""Object Repository/first learn more/Page_Chiragh/button_LEARN MORE""))",Chrome 71.0.3578.98,,2019-01-01 18:11:49,2019-01-01 18:11:49,0.192s,PASSED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-01 18:11:49,2019-01-01 18:11:50,0.864s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:11:50,2019-01-01 18:11:50,0.000s,PASSED
,,,,,,
Test Cases/home page/load more,Chrome 71.0.3578.98,,2019-01-01 18:11:50,2019-01-01 18:12:19,28.466s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:11:50,2019-01-01 18:11:54,3.190s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:11:54,2019-01-01 18:12:06,12.195s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:12:06,2019-01-01 18:12:07,1.188s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-01 18:12:07,2019-01-01 18:12:12,5.002s,PASSED
"verifyElementPresent(findTestObject(""load more/Page_Chiragh/div_property id 51556""), 7)",Chrome 71.0.3578.98,,2019-01-01 18:12:12,2019-01-01 18:12:12,0.092s,PASSED
"attribute2 = getText(findTestObject(""load more/Page_Chiragh/div_property id 51556""))",Chrome 71.0.3578.98,,2019-01-01 18:12:12,2019-01-01 18:12:12,0.102s,PASSED
"click(findTestObject(""Object Repository/test/Page_Chiragh/button_LOAD MORE""))",Chrome 71.0.3578.98,,2019-01-01 18:12:12,2019-01-01 18:12:12,0.201s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-01 18:12:12,2019-01-01 18:12:17,5.005s,PASSED
"verifyElementPresent(findTestObject(""load more/Page_Chiragh/div_property id 51464""), 7)",Chrome 71.0.3578.98,,2019-01-01 18:12:17,2019-01-01 18:12:18,0.101s,PASSED
"attribute1 = getText(findTestObject(""load more/Page_Chiragh/div_property id 51464""))",Chrome 71.0.3578.98,,2019-01-01 18:12:18,2019-01-01 18:12:18,0.121s,PASSED
"verifyNotMatch(""attribute2"", ""attribute1"", false)",Chrome 71.0.3578.98,,2019-01-01 18:12:18,2019-01-01 18:12:18,0.011s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:12:18,2019-01-01 18:12:19,0.859s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:12:19,2019-01-01 18:12:19,0.007s,PASSED
,,,,,,
Test Cases/home page/second learn more,Chrome 71.0.3578.98,,2019-01-01 18:12:19,2019-01-01 18:12:37,18.428s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:12:19,2019-01-01 18:12:21,2.380s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:12:21,2019-01-01 18:12:34,13.189s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:12:34,2019-01-01 18:12:36,1.166s,PASSED
"click(findTestObject(""Object Repository/second learn more/Page_Chiragh/button_LEARN MORE""))",Chrome 71.0.3578.98,,2019-01-01 18:12:36,2019-01-01 18:12:36,0.328s,PASSED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-01 18:12:36,2019-01-01 18:12:37,1.125s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:12:37,2019-01-01 18:12:37,0.003s,PASSED
,,,,,,
Test Cases/home page/start now button,Chrome 71.0.3578.98,,2019-01-01 18:12:37,2019-01-01 18:13:00,23.240s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:12:37,2019-01-01 18:12:41,3.217s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:12:41,2019-01-01 18:12:56,15.459s,PASSED
"click(findTestObject(""Object Repository/start now button/Page_Chiragh/button_START NOW""))",Chrome 71.0.3578.98,,2019-01-01 18:12:56,2019-01-01 18:12:56,0.198s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-01 18:12:56,2019-01-01 18:12:56,0.087s,PASSED
"if (verifyElementPresent(findTestObject(""sell/Page_Chiragh/Page_Chiragh/form_Sign In""), 3) == true)",Chrome 71.0.3578.98,,2019-01-01 18:12:56,2019-01-01 18:13:00,3.836s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:13:00,2019-01-01 18:13:00,0.004s,PASSED
,,,,,,
Test Cases/home page/view property by name,Chrome 71.0.3578.98,,2019-01-01 18:13:00,2019-01-01 18:13:26,25.735s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:13:01,2019-01-01 18:13:04,3.496s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:13:04,2019-01-01 18:13:18,13.375s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:13:18,2019-01-01 18:13:19,1.145s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:13:19,2019-01-01 18:13:22,3.003s,PASSED
"click(findTestObject(""Object Repository/property by name/Page_Chiragh/h2_Project 51468 Penthouse wit""))",Chrome 71.0.3578.98,,2019-01-01 18:13:22,2019-01-01 18:13:22,0.244s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:13:22,2019-01-01 18:13:25,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/property by name/Page_Chiragh/div_Exit VR""), 3)",Chrome 71.0.3578.98,,2019-01-01 18:13:25,2019-01-01 18:13:25,0.223s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:13:25,2019-01-01 18:13:26,0.804s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:13:26,2019-01-01 18:13:26,0.005s,PASSED
,,,,,,
Test Cases/home page/view property,Chrome 71.0.3578.98,,2019-01-01 18:13:26,2019-01-01 18:13:52,26.310s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:13:26,2019-01-01 18:13:29,2.449s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:13:29,2019-01-01 18:13:44,15.181s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:13:44,2019-01-01 18:13:45,1.179s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:13:45,2019-01-01 18:13:48,3.003s,PASSED
"click(findTestObject(""Object Repository/view property/Page_Chiragh/img""))",Chrome 71.0.3578.98,,2019-01-01 18:13:48,2019-01-01 18:13:48,0.224s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:13:48,2019-01-01 18:13:51,3.006s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/view property/Page_Chiragh/ul_PROPERTY DESCRIPTION""), 3)",Chrome 71.0.3578.98,,2019-01-01 18:13:51,2019-01-01 18:13:51,0.098s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/view property/Page_Chiragh/div_Exit VR""), 3)",Chrome 71.0.3578.98,,2019-01-01 18:13:51,2019-01-01 18:13:51,0.066s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:13:51,2019-01-01 18:13:52,0.810s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:13:52,2019-01-01 18:13:52,0.005s,PASSED
,,,,,,
Test Cases/header/about us,Chrome 71.0.3578.98,,2019-01-01 18:13:52,2019-01-01 18:14:17,24.351s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:13:53,2019-01-01 18:13:55,2.547s,PASSED
