Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Chiragh links,Chrome 71.0.3578.98,,2019-01-03 12:58:00,2019-01-03 13:10:24,12m - 23.941s,FAILED
,,,,,,
Test Cases/register/read more,Chrome 71.0.3578.98,,2019-01-03 12:58:00,2019-01-03 12:58:27,26.477s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:58:01,2019-01-03 12:58:05,4.068s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:58:05,2019-01-03 12:58:18,13.168s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:58:18,2019-01-03 12:58:19,1.200s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:58:19,2019-01-03 12:58:22,3.080s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-03 12:58:22,2019-01-03 12:58:22,0.198s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/a_Register""))",Chrome 71.0.3578.98,,2019-01-03 12:58:22,2019-01-03 12:58:22,0.103s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:58:22,2019-01-03 12:58:25,3.009s,PASSED
"click(findTestObject(""Object Repository/read more/Page_Chiragh/a_(Read More)""))",Chrome 71.0.3578.98,,2019-01-03 12:58:25,2019-01-03 12:58:26,0.218s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/read more/Page_Chiragh/div_Terms  Conditions""), 5)",Chrome 71.0.3578.98,,2019-01-03 12:58:26,2019-01-03 12:58:26,0.075s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-03 12:58:26,2019-01-03 12:58:27,1.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:58:27,2019-01-03 12:58:27,0.108s,PASSED
,,,,,,
Test Cases/signin/Forgot Password,Chrome 71.0.3578.98,,2019-01-03 12:58:27,2019-01-03 12:58:53,26.628s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:58:27,2019-01-03 12:58:29,2.316s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:58:29,2019-01-03 12:58:45,15.360s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:58:45,2019-01-03 12:58:46,1.168s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:58:46,2019-01-03 12:58:49,3.004s,PASSED
"click(findTestObject(""Object Repository/forgot password/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-03 12:58:49,2019-01-03 12:58:49,0.119s,PASSED
"click(findTestObject(""Object Repository/forgot password/Page_Chiragh/a_Login""))",Chrome 71.0.3578.98,,2019-01-03 12:58:49,2019-01-03 12:58:49,0.137s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:58:49,2019-01-03 12:58:52,3.004s,PASSED
"click(findTestObject(""Object Repository/forgot password/Page_Chiragh/a_Forgot Password""))",Chrome 71.0.3578.98,,2019-01-03 12:58:52,2019-01-03 12:58:52,0.158s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/forgot password/Page_Chiragh/form_Forgot Password""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:58:52,2019-01-03 12:58:52,0.040s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/forgot password/Page_Chiragh/div_Follow these simple steps""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:58:52,2019-01-03 12:58:52,0.028s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/forgot password/Page_Chiragh/div_Submit""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:58:52,2019-01-03 12:58:53,0.047s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-03 12:58:53,2019-01-03 12:58:53,0.874s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:58:53,2019-01-03 12:58:53,0.019s,PASSED
,,,,,,
Test Cases/signin/login,Chrome 71.0.3578.98,,2019-01-03 12:58:54,2019-01-03 12:59:21,27.061s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:58:54,2019-01-03 12:58:56,2.423s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:58:56,2019-01-03 12:59:12,15.442s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:59:12,2019-01-03 12:59:13,1.181s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-03 12:59:13,2019-01-03 12:59:13,0.337s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/a_Login""))",Chrome 71.0.3578.98,,2019-01-03 12:59:13,2019-01-03 12:59:13,0.134s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:59:13,2019-01-03 12:59:16,3.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userName (1)""), userName)",Chrome 71.0.3578.98,,2019-01-03 12:59:16,2019-01-03 12:59:17,0.327s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userPassword (1)""), userPassword)",Chrome 71.0.3578.98,,2019-01-03 12:59:17,2019-01-03 12:59:17,0.213s,PASSED
"click(findTestObject(""sell/Page_Chiragh/button_Sign In""))",Chrome 71.0.3578.98,,2019-01-03 12:59:17,2019-01-03 12:59:17,0.151s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:59:17,2019-01-03 12:59:20,3.005s,PASSED
"verifyTextPresent(userName, false)",Chrome 71.0.3578.98,,2019-01-03 12:59:20,2019-01-03 12:59:21,0.619s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:59:21,2019-01-03 12:59:21,0.000s,PASSED
,,,,,,
