Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
link,Chrome 71.0.3578.98,,2019-01-01 13:23:24,2019-01-01 13:39:50,16m - 26.645s,FAILED
,,,,,,
Test Cases/signin/login,Chrome 71.0.3578.98,,2019-01-01 13:23:24,2019-01-01 13:23:39,14.846s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 13:23:24,2019-01-01 13:23:28,3.574s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/auth/login"")",Chrome 71.0.3578.98,,2019-01-01 13:23:28,2019-01-01 13:23:38,10.570s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userName (1)""), ""newuser01"")",Chrome 71.0.3578.98,,2019-01-01 13:23:38,2019-01-01 13:23:39,0.222s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userPassword (1)""), ""1234567890"")",Chrome 71.0.3578.98,,2019-01-01 13:23:39,2019-01-01 13:23:39,0.141s,PASSED
"click(findTestObject(""Object Repository/Page_Chiragh/button_Sign In""))",Chrome 71.0.3578.98,,2019-01-01 13:23:39,2019-01-01 13:23:39,0.100s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 13:23:39,2019-01-01 13:23:39,0.018s,PASSED
,,,,,,
Test Cases/home page/Contact Us,Chrome 71.0.3578.98,,2019-01-01 13:23:39,2019-01-01 13:24:01,21.904s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 13:23:39,2019-01-01 13:23:42,2.863s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 13:23:42,2019-01-01 13:23:53,10.789s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 13:23:53,2019-01-01 13:23:54,1.136s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 13:23:54,2019-01-01 13:23:57,3.027s,PASSED
"click(findTestObject(""Object Repository/Contact Us/Page_Chiragh/a_CONTACT US""))",Chrome 71.0.3578.98,,2019-01-01 13:23:57,2019-01-01 13:23:57,0.114s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 13:23:57,2019-01-01 13:24:00,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Contact Us/Page_Chiragh/div_Headquarter""), 3)",Chrome 71.0.3578.98,,2019-01-01 13:24:00,2019-01-01 13:24:00,0.042s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 13:24:00,2019-01-01 13:24:01,0.735s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 13:24:01,2019-01-01 13:24:01,0.004s,PASSED
,,,,,,
Test Cases/header/about us,Chrome 71.0.3578.98,,2019-01-01 13:24:01,2019-01-01 13:24:22,21.277s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 13:24:01,2019-01-01 13:24:03,2.136s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 13:24:03,2019-01-01 13:24:14,10.944s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 13:24:14,2019-01-01 13:24:15,1.135s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 13:24:15,2019-01-01 13:24:18,3.003s,PASSED
"click(findTestObject(""Object Repository/about us/Page_Chiragh/a_About Us(current)""))",Chrome 71.0.3578.98,,2019-01-01 13:24:18,2019-01-01 13:24:18,0.095s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 13:24:18,2019-01-01 13:24:21,3.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/about us/Page_Chiragh/div_MISSION STATEMENT""), 5)",Chrome 71.0.3578.98,,2019-01-01 13:24:21,2019-01-01 13:24:21,0.034s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 13:24:21,2019-01-01 13:24:22,0.762s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 13:24:22,2019-01-01 13:24:22,0.005s,PASSED
,,,,,,
Test Cases/header/Buy,Chrome 71.0.3578.98,,2019-01-01 13:24:22,2019-01-01 13:24:44,21.339s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 13:24:22,2019-01-01 13:24:25,2.260s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 13:24:25,2019-01-01 13:24:36,10.907s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 13:24:36,2019-01-01 13:24:37,1.141s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 13:24:37,2019-01-01 13:24:40,3.003s,PASSED
"click(findTestObject(""Object Repository/buy/Page_Chiragh/a_Buy""))",Chrome 71.0.3578.98,,2019-01-01 13:24:40,2019-01-01 13:24:40,0.086s,PASSED
