Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Chiragh links,Chrome 71.0.3578.98,,2019-01-03 12:31:47,2019-01-03 12:41:58,10m - 10.512s,FAILED
,,,,,,
Test Cases/register/read more,Chrome 71.0.3578.98,,2019-01-03 12:31:48,2019-01-03 12:32:12,24.071s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:31:48,2019-01-03 12:31:53,4.761s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:31:53,2019-01-03 12:32:03,10.002s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:32:03,2019-01-03 12:32:04,1.167s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:32:04,2019-01-03 12:32:07,3.048s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-03 12:32:07,2019-01-03 12:32:07,0.214s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/a_Register""))",Chrome 71.0.3578.98,,2019-01-03 12:32:07,2019-01-03 12:32:07,0.200s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:32:07,2019-01-03 12:32:10,3.001s,PASSED
"click(findTestObject(""Object Repository/read more/Page_Chiragh/a_(Read More)""))",Chrome 71.0.3578.98,,2019-01-03 12:32:10,2019-01-03 12:32:11,0.169s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/read more/Page_Chiragh/div_Terms  Conditions""), 5)",Chrome 71.0.3578.98,,2019-01-03 12:32:11,2019-01-03 12:32:11,0.073s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-03 12:32:11,2019-01-03 12:32:12,0.871s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:32:12,2019-01-03 12:32:12,0.058s,PASSED
,,,,,,
Test Cases/signin/Forgot Password,Chrome 71.0.3578.98,,2019-01-03 12:32:12,2019-01-03 12:32:32,19.912s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:32:12,2019-01-03 12:32:14,2.391s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:32:14,2019-01-03 12:32:23,8.646s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:32:23,2019-01-03 12:32:24,1.148s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:32:24,2019-01-03 12:32:27,3.003s,PASSED
"click(findTestObject(""Object Repository/forgot password/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-03 12:32:27,2019-01-03 12:32:27,0.127s,PASSED
"click(findTestObject(""Object Repository/forgot password/Page_Chiragh/a_Login""))",Chrome 71.0.3578.98,,2019-01-03 12:32:27,2019-01-03 12:32:27,0.131s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:32:27,2019-01-03 12:32:30,3.001s,PASSED
"click(findTestObject(""Object Repository/forgot password/Page_Chiragh/a_Forgot Password""))",Chrome 71.0.3578.98,,2019-01-03 12:32:30,2019-01-03 12:32:31,0.149s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/forgot password/Page_Chiragh/form_Forgot Password""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:32:31,2019-01-03 12:32:31,0.065s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/forgot password/Page_Chiragh/div_Follow these simple steps""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:32:31,2019-01-03 12:32:31,0.049s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/forgot password/Page_Chiragh/div_Submit""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:32:31,2019-01-03 12:32:31,0.038s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-03 12:32:31,2019-01-03 12:32:32,0.818s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:32:32,2019-01-03 12:32:32,0.004s,PASSED
,,,,,,
Test Cases/signin/login,Chrome 71.0.3578.98,,2019-01-03 12:32:32,2019-01-03 12:32:55,23.191s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:32:32,2019-01-03 12:32:34,2.326s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:32:34,2019-01-03 12:32:44,9.990s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:32:44,2019-01-03 12:32:46,1.316s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-03 12:32:46,2019-01-03 12:32:46,0.385s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/a_Login""))",Chrome 71.0.3578.98,,2019-01-03 12:32:46,2019-01-03 12:32:46,0.281s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:32:46,2019-01-03 12:32:49,3.004s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userName (1)""), userName)",Chrome 71.0.3578.98,,2019-01-03 12:32:49,2019-01-03 12:32:50,0.231s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userPassword (1)""), userPassword)",Chrome 71.0.3578.98,,2019-01-03 12:32:50,2019-01-03 12:32:50,0.196s,PASSED
"click(findTestObject(""sell/Page_Chiragh/button_Sign In""))",Chrome 71.0.3578.98,,2019-01-03 12:32:50,2019-01-03 12:32:50,0.170s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:32:50,2019-01-03 12:32:53,3.005s,PASSED
"verifyTextPresent(userName, false)",Chrome 71.0.3578.98,,2019-01-03 12:32:53,2019-01-03 12:32:54,0.854s,PASSED
"click(findTestObject(""Object Repository/Page_Chiragh/button_Sign In""))",Chrome 71.0.3578.98,,2019-01-03 12:32:54,2019-01-03 12:32:54,0.207s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-03 12:32:54,2019-01-03 12:32:55,0.873s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:32:55,2019-01-03 12:32:55,0.002s,PASSED
,,,,,,
Test Cases/home page/Contact Us,Chrome 71.0.3578.98,,2019-01-03 12:32:55,2019-01-03 12:33:14,19.328s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:32:55,2019-01-03 12:32:57,2.335s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:32:57,2019-01-03 12:33:06,8.480s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:33:06,2019-01-03 12:33:07,1.135s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:33:07,2019-01-03 12:33:10,3.001s,PASSED
"click(findTestObject(""Object Repository/Contact Us/Page_Chiragh/a_CONTACT US""))",Chrome 71.0.3578.98,,2019-01-03 12:33:10,2019-01-03 12:33:10,0.163s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-03 12:33:10,2019-01-03 12:33:13,3.001s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Contact Us/Page_Chiragh/div_Headquarter""), 3)",Chrome 71.0.3578.98,,2019-01-03 12:33:13,2019-01-03 12:33:13,0.047s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-03 12:33:13,2019-01-03 12:33:14,0.882s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:33:14,2019-01-03 12:33:14,0.002s,PASSED
,,,,,,
Test Cases/home page/first learn more,Chrome 71.0.3578.98,,2019-01-03 12:33:14,2019-01-03 12:33:26,11.943s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:33:14,2019-01-03 12:33:17,2.291s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:33:17,2019-01-03 12:33:25,8.361s,PASSED
"click(findTestObject(""Object Repository/first learn more/Page_Chiragh/button_LEARN MORE""))",Chrome 71.0.3578.98,,2019-01-03 12:33:25,2019-01-03 12:33:25,0.163s,PASSED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-03 12:33:25,2019-01-03 12:33:26,0.841s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:33:26,2019-01-03 12:33:26,0.002s,PASSED
,,,,,,
Test Cases/home page/load more,Chrome 71.0.3578.98,,2019-01-03 12:33:26,2019-01-03 12:33:54,27.922s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:33:26,2019-01-03 12:33:30,3.340s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:33:30,2019-01-03 12:33:39,8.929s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:33:39,2019-01-03 12:33:40,1.146s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-03 12:33:40,2019-01-03 12:33:45,5.006s,PASSED
"verifyElementPresent(findTestObject(""load more/Page_Chiragh/div_property id 51556""), 7)",Chrome 71.0.3578.98,,2019-01-03 12:33:45,2019-01-03 12:33:54,9.141s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:33:54,2019-01-03 12:33:54,0.003s,PASSED
,,,,,,
Test Cases/home page/second learn more,Chrome 71.0.3578.98,,2019-01-03 12:33:54,2019-01-03 12:34:11,16.665s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:33:54,2019-01-03 12:33:58,3.292s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:33:58,2019-01-03 12:34:08,10.542s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:34:08,2019-01-03 12:34:09,1.141s,PASSED
"click(findTestObject(""Object Repository/second learn more/Page_Chiragh/button_LEARN MORE""))",Chrome 71.0.3578.98,,2019-01-03 12:34:09,2019-01-03 12:34:10,0.523s,PASSED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-03 12:34:10,2019-01-03 12:34:11,0.749s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-03 12:34:11,2019-01-03 12:34:11,0.001s,PASSED
,,,,,,
Test Cases/home page/start now button,Chrome 71.0.3578.98,,2019-01-03 12:34:11,2019-01-03 12:34:27,16.514s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-03 12:34:11,2019-01-03 12:34:14,3.199s,PASSED
navigateToUrl(Url),Chrome 71.0.3578.98,,2019-01-03 12:34:14,2019-01-03 12:34:23,8.945s,PASSED
