Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:13:57,2018-12-31 13:14:00,3.005s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/FAQS/Page_Chiragh/div_Frequently Asked Questions""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:14:00,2018-12-31 13:14:00,0.059s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:14:00,2018-12-31 13:14:01,0.793s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:14:01,2018-12-31 13:14:01,0.005s,PASSED
,,,,,,
Test Cases/header/How it Works,Chrome 71.0.3578.98,,2018-12-31 13:14:01,2018-12-31 13:14:26,25.151s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:14:02,2018-12-31 13:14:04,2.296s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:14:04,2018-12-31 13:14:18,14.345s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:14:18,2018-12-31 13:14:19,1.188s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:14:19,2018-12-31 13:14:22,3.003s,PASSED
"click(findTestObject(""Object Repository/How it Works/Page_Chiragh/a_How it Works""))",Chrome 71.0.3578.98,,2018-12-31 13:14:22,2018-12-31 13:14:23,0.140s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:14:23,2018-12-31 13:14:26,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/How it Works/Page_Chiragh/div_Seller  Buyer Process""), 5)",Chrome 71.0.3578.98,,2018-12-31 13:14:26,2018-12-31 13:14:26,0.076s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:14:26,2018-12-31 13:14:26,0.818s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:14:26,2018-12-31 13:14:26,0.007s,PASSED
,,,,,,
Test Cases/header/repurchase,Chrome 71.0.3578.98,,2018-12-31 13:14:26,2018-12-31 13:14:50,23.447s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:14:27,2018-12-31 13:14:29,2.382s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:14:29,2018-12-31 13:14:42,12.550s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:14:42,2018-12-31 13:14:43,1.129s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:14:43,2018-12-31 13:14:46,3.004s,PASSED
"click(findTestObject(""Object Repository/repurchase/Page_Chiragh/a_Repurchase""))",Chrome 71.0.3578.98,,2018-12-31 13:14:46,2018-12-31 13:14:46,0.147s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:14:46,2018-12-31 13:14:49,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/repurchase/Page_Chiragh/div_BUY BACK OR REPURCHASE AGR""), 5)",Chrome 71.0.3578.98,,2018-12-31 13:14:49,2018-12-31 13:14:49,0.084s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:14:49,2018-12-31 13:14:50,0.882s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:14:50,2018-12-31 13:14:50,0.006s,PASSED
,,,,,,
Test Cases/header/resources,Chrome 71.0.3578.98,,2018-12-31 13:14:50,2018-12-31 13:15:13,22.848s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:14:50,2018-12-31 13:14:53,2.308s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:14:53,2018-12-31 13:15:05,11.984s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:15:05,2018-12-31 13:15:06,1.167s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:15:06,2018-12-31 13:15:09,3.003s,PASSED
"click(findTestObject(""Object Repository/RESOURCES/Page_Chiragh/a_Resources""))",Chrome 71.0.3578.98,,2018-12-31 13:15:09,2018-12-31 13:15:09,0.121s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:15:09,2018-12-31 13:15:12,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RESOURCES/Page_Chiragh/div_Resources""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:15:12,2018-12-31 13:15:12,0.099s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:15:12,2018-12-31 13:15:13,0.849s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:15:13,2018-12-31 13:15:13,0.007s,PASSED
,,,,,,
Test Cases/home page/Contact Us,Chrome 71.0.3578.98,,2018-12-31 13:15:13,2018-12-31 13:15:35,22.696s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:15:13,2018-12-31 13:15:15,2.416s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:15:15,2018-12-31 13:15:27,11.892s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:15:27,2018-12-31 13:15:28,1.175s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:15:28,2018-12-31 13:15:31,3.003s,PASSED
"click(findTestObject(""Object Repository/Contact Us/Page_Chiragh/a_CONTACT US""))",Chrome 71.0.3578.98,,2018-12-31 13:15:31,2018-12-31 13:15:31,0.159s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:15:31,2018-12-31 13:15:34,3.005s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Contact Us/Page_Chiragh/div_Headquarter""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:15:34,2018-12-31 13:15:35,0.211s,PASSED
